,monthly_spend,invoices,last_payment_date,sign_up_date,last_seen_at,sessions_30d,pages_viewed_30d,time_on_site_sec_30d,plan_basic,plan_premium,plan_standard,payment_status_delinquent,payment_status_on_time,device_type_desktop,device_type_mobile,device_type_tablet,region_East,region_North,region_South,region_West,channel_app,channel_partner,channel_web,age_band_18-24,age_band_25-34,age_band_35-44,age_band_45-54,age_band_55+,customer_id,churn
count,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000.0,3000.0
unique,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
top,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
freq,,,,,,,,,1529,2548,1923,2733,2733,2007,2006,1987,2245,2237,2245,2273,2027,2030,1943,2402,2376,2374,2428,2420,,
mean,1.1842378929335003e-18,1.0421293457814803e-16,4.263256414560601e-17,-4.500103993147301e-17,1.8000415972589204e-16,1.0658141036401503e-17,1.6579330501069006e-17,8.763360407707902e-17,,,,,,,,,,,,,,,,,,,,,1500.5,0.397
std,1.0001667083449108,1.0001667083449106,1.0001667083449108,1.000166708344911,1.0001667083449108,1.0001667083449108,1.0001667083449108,1.0001667083449106,,,,,,,,,,,,,,,,,,,,,866.1697293256098,0.4893575621239231
min,-1.2622690382660882,-1.6998919749699823,-2.363172690317275,-1.7257675884926431,-2.40867427554666,-0.977084477596093,-0.9787536408731727,-1.3815633900413846,,,,,,,,,,,,,,,,,,,,,1.0,0.0
25%,-0.7412121960447048,-0.8350710678830967,-0.7244148881034477,-0.8614044235931846,-0.6974542820645406,-0.7761141006608985,-0.7187579865038879,-0.7375671514865162,,,,,,,,,,,,,,,,,,,,,750.75,0.0
50%,-0.2256310617891435,0.029749839203788972,0.23249569616798335,0.006101880087726555,0.18779810446379008,-0.2736881583229123,-0.29626504815380006,-0.22120980705963975,,,,,,,,,,,,,,,,,,,,,1500.5,0.0
75%,0.22669123570336816,0.8945707462906747,0.8523568033883435,0.848463073517017,0.8630416955500991,0.4297081609502683,0.3862235445655726,0.4750023427294071,,,,,,,,,,,,,,,,,,,,,2250.25,1.0
max,2.703872699925659,1.7593916533775604,1.33662329340425,1.7348282098866437,1.3734936959546304,5.052026830459741,7.016112730982337,6.619074564617746,,,,,,,,,,,,,,,,,,,,,3000.0,1.0
