customer_id,sign_up_date,last_seen_at,sessions_30d,pages_viewed_30d,time_on_site_sec_30d,device_type,region,channel,age_band,is_churn
1,2022-06-25,2023-12-14,3,114,27,desktop,South,app,18-24,0
2,2024-12-28,2025-06-22,16,14,175,mobile,North,app,55+,0
3,2025-02-10,2025-03-16,2,23,580,mobile,South,web,18-24,0
4,2024-02-04,2024-11-09,4,54,105,desktop,West,web,25-34,1
5,2024-07-12,2024-07-16,5,16,58,mobile,West,web,55+,0
6,2024-02-24,2025-08-01,0,37,239,mobile,South,partner,55+,0
7,2022-02-09,2025-04-09,18,22,37,mobile,West,web,25-34,1
8,2024-09-28,2025-03-16,2,22,475,mobile,South,app,45-54,0
9,2024-04-27,2024-06-15,20,9,169,mobile,North,partner,35-44,0
10,2022-08-14,2023-11-26,5,27,278,tablet,South,web,55+,0
11,2024-04-30,2024-07-02,8,6,51,tablet,South,app,18-24,0
12,2022-10-18,2023-04-19,7,47,601,tablet,North,partner,18-24,0
13,2023-09-05,2024-11-06,4,22,282,tablet,South,app,55+,0
14,2023-03-17,2023-09-09,8,7,103,desktop,East,app,55+,0
15,2023-11-22,2025-06-03,19,15,20,desktop,East,app,25-34,1
16,2024-02-03,2024-04-21,10,21,326,mobile,South,web,55+,0
17,2022-09-18,2022-11-01,2,17,202,desktop,West,app,45-54,0
18,2025-03-27,2025-06-03,9,10,451,desktop,North,web,55+,1
19,2022-03-15,2024-02-08,0,134,283,desktop,South,app,25-34,0
20,2022-08-01,2024-01-28,4,32,197,desktop,West,web,18-24,1
21,2024-06-03,2024-12-27,9,8,162,tablet,East,app,35-44,1
22,2024-01-01,2024-12-03,22,6,269,tablet,West,partner,45-54,0
23,2025-01-13,2025-03-11,22,27,102,mobile,North,app,45-54,0
24,2023-11-08,2024-01-06,9,16,343,tablet,North,web,35-44,0
25,2023-08-16,2024-02-27,3,64,86,tablet,West,app,45-54,0
26,2024-06-08,2024-07-09,33,14,173,tablet,East,web,45-54,1
27,2025-02-17,2025-06-15,35,21,410,desktop,South,partner,18-24,1
28,2024-07-13,2025-05-31,4,18,150,desktop,North,web,35-44,0
29,2022-06-24,2025-06-19,2,82,325,mobile,South,app,45-54,0
30,2022-05-14,2024-01-05,6,17,125,desktop,North,web,45-54,0
31,2022-01-11,2023-11-17,7,18,156,desktop,East,web,45-54,1
32,2025-01-06,2025-08-14,4,48,146,tablet,East,partner,45-54,0
33,2024-12-07,2025-03-03,6,9,198,desktop,West,web,25-34,1
34,2024-03-04,2024-06-18,60,1,287,mobile,South,web,25-34,0
35,2023-06-14,2023-08-05,12,16,80,tablet,South,web,45-54,0
36,2023-05-06,2024-05-04,3,0,113,tablet,South,app,35-44,1
37,2024-07-23,2024-09-16,30,144,93,mobile,South,app,55+,0
38,2024-11-27,2025-05-23,2,3,85,desktop,East,web,55+,0
39,2023-08-01,2023-09-02,23,51,143,tablet,North,app,55+,0
40,2024-07-28,2024-09-18,2,20,206,desktop,West,app,45-54,1
41,2024-10-23,2025-03-04,11,9,99,mobile,West,partner,45-54,0
42,2024-08-21,2024-08-26,4,4,43,mobile,South,web,25-34,1
43,2022-09-09,2023-11-17,11,1,336,desktop,South,web,35-44,0
44,2023-06-05,2023-08-09,12,21,197,tablet,North,web,18-24,0
45,2025-02-19,2025-04-25,20,4,166,tablet,South,partner,18-24,0
46,2024-05-31,2025-07-28,10,1,133,desktop,North,web,25-34,1
47,2023-04-26,2024-05-05,34,23,546,tablet,West,web,35-44,0
48,2023-04-12,2024-01-08,7,52,146,desktop,East,app,18-24,0
49,2024-11-29,2024-12-26,1,71,96,mobile,West,app,45-54,1
50,2024-06-26,2025-06-14,15,1,79,desktop,East,web,25-34,1
51,2023-07-15,2024-07-09,15,9,183,mobile,East,partner,35-44,0
52,2024-10-18,2025-04-13,9,8,266,desktop,South,partner,18-24,1
53,2022-07-18,2022-12-27,1,16,331,mobile,East,web,55+,0
54,2025-03-15,2025-07-28,0,21,55,mobile,East,partner,18-24,1
55,2022-01-17,2023-11-03,36,15,931,tablet,East,partner,35-44,0
56,2022-01-02,2022-06-14,17,65,379,mobile,East,web,55+,1
57,2025-04-12,2025-07-09,4,1,153,tablet,East,partner,25-34,0
58,2022-08-23,2023-06-23,9,5,292,tablet,South,web,45-54,0
59,2023-02-23,2024-11-08,1,1,138,tablet,South,web,55+,0
60,2023-10-09,2024-01-03,4,16,228,desktop,East,partner,18-24,0
61,2024-05-16,2025-04-16,24,51,58,mobile,East,app,35-44,1
62,2023-01-27,2024-07-16,1,45,519,mobile,East,app,35-44,1
63,2024-11-19,2024-11-23,4,1,68,desktop,North,web,18-24,1
64,2025-01-09,2025-01-15,20,6,257,mobile,West,web,35-44,0
65,2022-09-30,2022-12-13,5,246,435,mobile,West,partner,55+,0
66,2022-03-27,2025-07-09,12,49,51,mobile,West,partner,35-44,1
67,2022-03-27,2023-06-27,4,25,475,tablet,North,partner,18-24,1
68,2023-02-04,2025-03-28,12,61,125,desktop,South,app,25-34,0
69,2025-04-01,2025-05-23,0,39,111,desktop,East,web,45-54,0
70,2025-03-28,2025-07-09,9,9,76,desktop,West,partner,18-24,0
71,2023-06-09,2024-12-29,27,18,661,tablet,South,web,25-34,0
72,2022-06-03,2024-11-12,3,11,53,mobile,South,partner,45-54,0
73,2024-12-19,2025-04-13,5,43,333,tablet,South,partner,55+,0
74,2022-10-17,2025-04-02,3,9,228,desktop,East,web,55+,0
75,2023-07-14,2025-07-24,13,61,302,tablet,South,web,18-24,1
76,2024-09-09,2024-11-15,2,49,122,tablet,North,partner,25-34,0
77,2024-12-08,2025-06-12,10,13,77,desktop,South,web,18-24,0
78,2025-03-01,2025-08-03,1,21,86,desktop,South,app,55+,0
79,2024-03-23,2024-07-27,16,3,79,mobile,East,app,55+,0
80,2023-11-18,2024-03-19,8,13,112,desktop,South,web,35-44,0
81,2023-12-30,2024-03-06,0,33,250,desktop,West,partner,25-34,1
82,2024-04-08,2024-09-25,8,48,164,tablet,South,partner,55+,1
83,2022-05-04,2023-12-25,15,21,132,mobile,West,web,55+,0
84,2024-06-25,2025-07-06,2,13,242,mobile,South,web,25-34,0
85,2023-09-09,2024-05-24,13,18,53,desktop,North,partner,18-24,0
86,2023-12-21,2024-06-14,4,1,224,desktop,West,web,55+,1
87,2023-05-26,2023-11-24,10,9,234,mobile,South,web,35-44,1
88,2023-12-28,2024-07-08,15,27,870,mobile,North,partner,45-54,1
89,2022-03-10,2023-02-21,0,5,91,tablet,North,web,45-54,1
90,2025-02-24,2025-03-30,11,24,149,desktop,South,partner,35-44,0
91,2023-05-05,2023-12-19,1,3,152,desktop,West,partner,25-34,1
92,2024-06-25,2024-12-01,39,4,189,tablet,East,partner,25-34,0
93,2024-07-14,2024-09-27,5,74,118,desktop,South,app,18-24,1
94,2024-12-10,2025-01-27,1,17,18,desktop,West,app,18-24,0
95,2024-08-23,2025-06-21,0,10,331,tablet,South,app,18-24,0
96,2022-10-16,2023-06-16,9,9,204,mobile,East,web,25-34,0
97,2023-11-21,2024-01-25,1,26,137,tablet,East,web,35-44,0
98,2025-01-31,2025-06-08,4,12,309,mobile,West,web,18-24,1
99,2024-08-09,2024-08-22,31,5,144,desktop,West,web,25-34,1
100,2023-03-11,2024-12-18,10,42,134,mobile,West,partner,45-54,0
101,2022-02-11,2024-05-04,25,23,410,desktop,West,web,35-44,1
102,2022-02-26,2024-08-07,8,19,109,desktop,North,partner,35-44,1
103,2024-03-29,2024-05-28,14,10,127,mobile,East,partner,45-54,0
104,2022-04-12,2024-05-26,28,35,187,desktop,North,app,35-44,1
105,2025-03-04,2025-05-13,8,16,22,tablet,East,partner,18-24,1
106,2022-11-10,2025-02-16,1,0,48,mobile,South,web,18-24,1
107,2024-10-06,2025-02-11,23,10,122,desktop,East,web,25-34,1
108,2023-10-08,2023-11-17,4,94,180,desktop,South,app,35-44,0
